0,1715627554,31.96,63.72,101198.81,36,51,53
1,1715627560,31.94,64.03,101197.73,35,51,53
2,1715627565,31.89,63.51,101192.59,35,51,52
3,1715627570,31.85,62.40,101196.44,35,53,55
4,1715627575,31.79,60.94,101196.22,35,55,56
5,1715627580,31.71,59.34,101196.48,36,57,58
6,1715627585,31.67,57.91,101194.27,32,51,51
7,1715627590,31.58,56.29,101194.20,31,51,51
8,1715627595,31.52,54.85,101196.90,33,51,51
9,1715627600,31.42,53.66,101195.13,33,48,48
10,1715627605,31.38,52.62,101187.92,33,47,48
11,1715627610,31.31,51.58,101193.98,33,47,48
12,1715627615,31.26,50.63,101188.70,32,45,47
13,1715627620,31.22,49.83,101189.09,33,45,47
14,1715627625,31.18,49.08,101191.28,31,44,46
15,1715627630,31.12,48.50,101188.72,29,42,43
16,1715627635,31.04,47.93,101192.97,29,42,44
17,1715627640,30.99,47.47,101190.02,28,41,42
18,1715627645,30.93,47.07,101190.62,28,40,41
19,1715627650,30.88,46.69,101190.25,28,39,40
20,1715627655,30.85,46.37,101187.62,28,40,41
21,1715627660,30.80,46.07,101188.53,28,41,42
22,1715627665,30.78,45.75,101188.86,28,42,43
23,1715627670,30.77,45.51,101183.48,29,43,45
24,1715627675,30.75,45.24,101182.69,29,42,42
25,1715627680,30.72,45.04,101191.78,28,41,43
26,1715627685,30.67,44.88,101189.25,27,41,43
27,1715627690,30.63,44.76,101186.88,27,42,44
28,1715627695,30.60,44.63,101189.36,25,38,39
29,1715627700,30.58,44.49,101187.78,25,38,39
30,1715627705,30.54,44.39,101185.84,24,37,38
31,1715627710,30.53,44.32,101191.69,24,34,35
32,1715627715,30.49,44.18,101185.62,26,34,34
33,1715627720,30.45,44.13,101182.98,26,36,36
34,1715627725,30.42,44.08,101185.03,26,37,38
35,1715627730,30.38,44.06,101188.84,26,36,37
36,1715627735,30.36,44.01,101189.50,26,37,38
37,1715627740,30.36,43.92,101190.02,25,36,36
38,1715627745,30.32,43.91,101186.43,24,34,34
39,1715627750,30.26,43.89,101185.33,24,35,35
40,1715627755,30.26,43.84,101187.52,24,35,36
41,1715627760,30.22,43.81,101185.44,25,38,38
42,1715627765,30.20,43.79,101189.45,26,36,37
43,1715627770,30.19,43.78,101183.91,26,36,36
44,1715627775,30.18,43.71,101183.75,25,36,37
45,1715627780,30.14,43.72,101185.66,24,35,35
46,1715627785,30.12,43.69,101187.34,25,36,36
47,1715627790,30.09,43.74,101185.27,26,37,37
48,1715627795,30.07,43.71,101185.33,25,35,36
49,1715627800,30.07,43.69,101183.00,24,35,36
50,1715627805,30.05,43.65,101184.43,22,33,34
51,1715627810,30.06,43.63,101178.38,23,33,33
52,1715627815,30.05,43.59,101183.48,24,33,33
53,1715627820,30.00,43.63,101177.77,23,33,33
54,1715627825,29.98,43.66,101179.62,22,31,31
55,1715627830,29.95,43.77,101180.02,22,32,32
56,1715627835,29.97,43.66,101180.23,23,33,34
57,1715627840,29.95,43.64,101181.92,21,34,35
58,1715627845,29.94,43.64,101180.94,21,32,33
59,1715627850,29.97,43.63,101182.81,22,32,35
60,1715627855,29.94,43.56,101182.31,22,33,34
61,1715627860,29.93,43.55,101184.98,24,35,36
62,1715627865,29.91,43.59,101180.39,23,35,36
63,1715627870,29.90,43.55,101183.23,22,34,35
64,1715627875,29.88,43.56,101181.91,23,33,34
65,1715627880,29.87,43.54,101181.02,20,31,32
66,1715627885,29.89,43.50,101181.52,21,31,31
67,1715627890,29.88,43.47,101182.59,21,30,30
68,1715627895,29.89,43.38,101181.66,21,29,30
69,1715627900,29.90,43.40,101181.70,21,29,30
70,1715627905,29.87,43.35,101181.58,23,33,33
71,1715627910,29.85,43.34,101182.15,23,33,34
72,1715627915,29.82,43.35,101180.01,23,31,31
73,1715627920,29.84,43.33,101179.80,22,32,34
74,1715627925,29.83,43.34,101179.20,22,32,35
75,1715627930,29.84,43.28,101178.68,22,31,34
